"location","name","peopleName","gentile","inseeCode"
"http://fr.dbpedia.org/resource/Marckolsheim","Marckolsheim","Marckolsheimois","Marckolsheimois","67281"
"http://fr.dbpedia.org/resource/Mégrit","Mégrit","Mégritien, Mégritienne","Mégritien, Mégritienne","22145"
"http://fr.dbpedia.org/resource/Nangis","Nangis","Nangissiens","Nangissiens","77327"
"http://fr.dbpedia.org/resource/Publier","Publier","Publiérains ou Amphionnais","Publiérains ou Amphionnais","74218"
"http://fr.dbpedia.org/resource/Ramatuelle","Ramatuelle","Ramatuellois","Ramatuellois","83101"
"http://fr.dbpedia.org/resource/Saint-Jean-le-Vieux_(Isère)","Saint-Jean-le-Vieux (Isère)","Jactous","Jactous","38404"
"http://fr.dbpedia.org/resource/Saint-Mayeux","Saint-Mayeux","Mayochin","Mayochin","22316"
"http://fr.dbpedia.org/resource/Saint-Michel-sur-Orge","Saint-Michel-sur-Orge","Saint-Michellois","Saint-Michellois","91570"
"http://fr.dbpedia.org/resource/Schweighouse-sur-Moder","Schweighouse-sur-Moder","Schweighousien(ne)s","Schweighousiens","67458"
"http://fr.dbpedia.org/resource/Soudaine-Lavinadière","Soudaine-Lavinadière","Vinadièrois","Vinadièrois","19262"
"http://fr.dbpedia.org/resource/Valloire","Valloire","Valloirins, Valloirinches","Valloirins, Valloirinches","73306"
"http://fr.dbpedia.org/resource/Vignacourt","Vignacourt","Vignacouriers","Vignacouriers","80793"
"http://fr.dbpedia.org/resource/Villiers-Charlemagne","Villiers-Charlemagne","Caropolitain, Caropolitaine","Caropolitain, Caropolitaine","53273"
"http://fr.dbpedia.org/resource/Viviez","Viviez","Viviézois","Viviézois","12305"
"http://fr.dbpedia.org/resource/Balazé","Balazé","Balazéen","Balazéen","35015"
"http://fr.dbpedia.org/resource/Bohain-en-Vermandois","Bohain-en-Vermandois","Bohainois","Bohainois","02095"
"http://fr.dbpedia.org/resource/Bourail","Bourail","Bouraillais","Bouraillais","98803"
"http://fr.dbpedia.org/resource/Gennes_(Maine-et-Loire)","Gennes (Maine-et-Loire)","Gennois, Gennoise","Gennois, Gennoise","49149"
"http://fr.dbpedia.org/resource/Terre-de-Bas","Terre-de-Bas","Saintois, Saintoises","Saintois, Saintoises","97130"
"http://fr.dbpedia.org/resource/Terre-de-Haut","Terre-de-Haut","Saintois, Saintoises","Saintois, Saintoises","97131"
"http://fr.dbpedia.org/resource/Cours_(Nièvre)","Cours (Nièvre)","Coursois","Coursois","58091"
"http://fr.dbpedia.org/resource/Val-d'Isère","Val-d'Isère","Aval(l)ains","Avalains","73304"
"http://fr.dbpedia.org/resource/Val-d'Isère","Val-d'Isère","Aval(l)ains","Avalins","73304"
"http://fr.dbpedia.org/resource/Val-d'Isère","Val-d'Isère","Aval(l)ins","Avalains","73304"
"http://fr.dbpedia.org/resource/Val-d'Isère","Val-d'Isère","Aval(l)ins","Avalins","73304"
"http://fr.dbpedia.org/resource/Elange","Elange","elangeois","elangeois","57 672"
"http://fr.dbpedia.org/resource/Hœnheim","Hœnheim","Hœnheimois","Hœnheimois","67204"
"http://fr.dbpedia.org/resource/La_Haie-Fouassière","La Haie-Fouassière","Hayonnais","Hayonnais","44070"
"http://fr.dbpedia.org/resource/Ludelange","Ludelange","ludelangeois, ludelangeoise","ludelangeois, ludelangeoise","57 678"
"http://fr.dbpedia.org/resource/Abbéville-la-Rivière","Abbéville-la-Rivière","Abbevillois","Abbevillois","91001"
"http://fr.dbpedia.org/resource/Ahéville","Ahéville","Ahévillois","Ahévillois","88002"
"http://fr.dbpedia.org/resource/Aingeville","Aingeville","Aingevillois(es)","Aingevillois","88003"
"http://fr.dbpedia.org/resource/Ainvelle_(Vosges)","Ainvelle (Vosges)","Ainvellois(es)","Ainvellois","88004"
"http://fr.dbpedia.org/resource/Aixe-sur-Vienne","Aixe-sur-Vienne","Aixois","Aixois","87001"
"http://fr.dbpedia.org/resource/Alba-la-Romaine","Alba-la-Romaine","Albains, Albaines","Albains, Albaines","07005"
"http://fr.dbpedia.org/resource/Allarmont","Allarmont","Hilarismontais","Hilarismontais","88005"
"http://fr.dbpedia.org/resource/Allineuc","Allineuc","Allineucois, Allineucoise","Allineucois, Allineucoise","22001"
"http://fr.dbpedia.org/resource/Allonnes_(Sarthe)","Allonnes (Sarthe)","Allonnais","Allonnais","72003"
"http://fr.dbpedia.org/resource/Allouville-Bellefosse","Allouville-Bellefosse","Allouvillais et Allouvillaises","Allouvillais et Allouvillaises","76001"
"http://fr.dbpedia.org/resource/Almenêches","Almenêches","Almenêchois","Almenêchois","61002"
"http://fr.dbpedia.org/resource/Amange","Amange","Amangeois","Amangeois","39008"
"http://fr.dbpedia.org/resource/Ambacourt","Ambacourt","Ambacurtien(ne)s","Ambacurtiens","88006"
"http://fr.dbpedia.org/resource/Ambazac","Ambazac","Ambazacois","Ambazacois","87002"
"http://fr.dbpedia.org/resource/Andel_(Côtes-d'Armor)","Andel (Côtes-d'Armor)","Andelois, Andeloise","Andelois, Andeloise","22002"
"http://fr.dbpedia.org/resource/Andelnans","Andelnans","Andelnanais","Andelnanais","90001"
"http://fr.dbpedia.org/resource/Andryes","Andryes","androgien, androgienne","androgien, androgienne","89007"
"http://fr.dbpedia.org/resource/Anglemont","Anglemont","Anglemontais(es)","Anglemontais","88008"
"http://fr.dbpedia.org/resource/Angles-sur-l'Anglin","Angles-sur-l'Anglin","Anglois","Anglois","86004"
"http://fr.dbpedia.org/resource/Anglet","Anglet","Angloy","Angloy","64024"
"http://fr.dbpedia.org/resource/Anould","Anould","Aulnois","Aulnois","88009"
"http://fr.dbpedia.org/resource/Ansauvillers","Ansauvillers","Ansauvillois ou Ansauvillersois","Ansauvillois ou Ansauvillersois","60017"
"http://fr.dbpedia.org/resource/Anse_(Rhône)","Anse (Rhône)","Ansois","Ansois","69009"
"http://fr.dbpedia.org/resource/Antoigny","Antoigny","Antoniaciens","Antoniaciens","61004"
"http://fr.dbpedia.org/resource/Antoigné","Antoigné","Antoignéens","Antoignéens","49009"
"http://fr.dbpedia.org/resource/Aouze","Aouze","Aouzien(ne)s","Aouziens","88010"
"http://fr.dbpedia.org/resource/Appoigny","Appoigny","Époniens","Époniens","89013"
"http://fr.dbpedia.org/resource/Apt","Apt","Aptésiens ou Aptois","Aptésiens ou Aptois","84003"
"http://fr.dbpedia.org/resource/Aragon_(Aude)","Aragon (Aude)","Aragonais","Aragonais","11011"
"http://fr.dbpedia.org/resource/Arandas","Arandas","Carcaillons","Carcaillons","01013"
"http://fr.dbpedia.org/resource/Arces_(Charente-Maritime)","Arces (Charente-Maritime)","Arcillons","Arcillons","17015"
"http://fr.dbpedia.org/resource/Ardes","Ardes","Ardoisiens","Ardoisiens","63009"
"http://fr.dbpedia.org/resource/Argentan","Argentan","Argentanais","Argentanais","61006"
"http://fr.dbpedia.org/resource/Argiésans","Argiésans","Argiésanais","Argiésanais","90004"
"http://fr.dbpedia.org/resource/Armentières","Armentières","Armentiérois, Armentiéroises","Armentiérois, Armentiéroises","59017"
"http://fr.dbpedia.org/resource/Arques-la-Bataille","Arques-la-Bataille","Arquais","Arquais","76026"
"http://fr.dbpedia.org/resource/Arzenc-de-Randon","Arzenc-de-Randon","Arzencois","Arzencois","48008"
"http://fr.dbpedia.org/resource/Arès_(Gironde)","Arès (Gironde)","Arésiens","Arésiens","33011"
"http://fr.dbpedia.org/resource/Athis-de-l'Orne","Athis-de-l'Orne","Athisiens","Athisiens","61007"
"http://fr.dbpedia.org/resource/Aube_(Orne)","Aube (Orne)","Albins","Albins","61008"
