"location", "name", "demonym", "inseeCode"
"http://dbpedia.org/resource/Montpellier", "Montpellier", "Montpelliérain, Montpelliéraine", 34172
"http://dbpedia.org/resource/Montpollin", "Montpollin", "Montpolinéun, Montpolinéune", 49213
"http://dbpedia.org/resource/Montrabot", "Montrabot", "Montrabotains", 50351
"http://dbpedia.org/resource/Montreuil-Bellay", "Montreuil-Bellay", "Montreuillais, Montreuillaise", 49215
"http://dbpedia.org/resource/Montreuil-le-Chétif", "Montreuil-le-Chétif", "Montreuillais", 72209
"http://dbpedia.org/resource/Montreuil-sur-Loir", "Montreuil-sur-Loir", "Monsteriolais, Monsteriolaise", 49216
"http://dbpedia.org/resource/Montreuil-sur-Maine", "Montreuil-sur-Maine", "Montreuillais, Montreuillaise", 49217
"http://dbpedia.org/resource/Montrevault", "Montrevault", "Montrebellien, Montrebellienne", 49218
"http://dbpedia.org/resource/Montsecret", "Montsecret", "Montsecréens", 61292
"http://dbpedia.org/resource/Morannes", "Morannes", "Morannais, Morannaise", 49220
"http://dbpedia.org/resource/Morbecque", "Morbecque", "Morbecquois", 59416
"http://dbpedia.org/resource/Morigny", "Morigny (Manche)", "Morignais", 50357
"http://dbpedia.org/resource/Morsalines", "Morsalines", "Morsalinais", 50358
"http://dbpedia.org/resource/Morzine", "Morzine", "Morzinois", 74191
"http://dbpedia.org/resource/Mouans-Sartoux", "Mouans-Sartoux", "Mouansois", 6084
"http://dbpedia.org/resource/Mouilleron", "Mouilleron (Haute-Marne)", "Mouilleronnais, Mouilleronnaises", 52344
"http://dbpedia.org/resource/Mouliherne", "Mouliherne", "Moulihernais, Moulihernaise", 49221
"http://dbpedia.org/resource/Moulins-le-Carbonnel", "Moulins-le-Carbonnel", "Moulinois", 72212
"http://dbpedia.org/resource/Moulins-lès-Metz", "Moulins-lès-Metz", "Moulinois", 57487
"http://dbpedia.org/resource/Mouzay,_Meuse", "Mouzay (Meuse)", "Mouzayons , Mouzayonnes", 55364
"http://dbpedia.org/resource/Moyon", "Moyon", "Moyonnais", 50363
"http://dbpedia.org/resource/Mozé-sur-Louet", "Mozé-sur-Louet", "Mozéen, Mozéenne", 49222
"http://dbpedia.org/resource/Muizon", "Muizon", "Muizonnais", 51391
"http://dbpedia.org/resource/Mulsanne", "Mulsanne", "Mulsannais", 7209213
"http://dbpedia.org/resource/Muneville-sur-Mer", "Muneville-sur-Mer", "Munevillais", 50365
"http://dbpedia.org/resource/Musièges", "Musièges", "Musiègeois / Musiègeoise", 74065
"http://dbpedia.org/resource/Saosnes", "Saosnes", "Saugonatien, Saugonatienne", 72326
"http://dbpedia.org/resource/Saran,_Loiret", "Saran", "Saranais", 45302
"http://dbpedia.org/resource/Sarcey,_Haute-Marne", "Sarcey (Haute-Marne)", "Sarceyots, Sarceyottes", 52459
"http://dbpedia.org/resource/Sarcé", "Sarcé", "Sarcéen, Sarcéenne", 72327
"http://dbpedia.org/resource/Sargé-lès-le-Mans", "Sargé-lès-le-Mans", "Sargéen, Sargéenne", 72328
"http://dbpedia.org/resource/Sarlat-la-Canéda", "Sarlat-la-Canéda", "Sarladais, Sarladaises", 24520
"http://dbpedia.org/resource/Sartilly", "Sartilly", "Sartillais", 50565
"http://dbpedia.org/resource/Saudrupt", "Saudrupt", "Saudrois", 55470
"http://dbpedia.org/resource/Saulgé-l'Hôpital", "Saulgé-l'Hôpital", "Saulgéen, Saulgéenne", 49327
"http://dbpedia.org/resource/Saulx-Marchais", "Saulx-Marchais", "Marcasalucéens", 78588
"http://dbpedia.org/resource/Sautron", "Sautron", "Sautronnaise, Sautronnais", 44194
"http://dbpedia.org/resource/Savigné-l'Évêque", "Savigné-l'Évêque", "Savignéen, Savignéenne", 72329
"http://dbpedia.org/resource/Sceaux-d'Anjou", "Sceaux-d'Anjou", "Salcien, Salcienne", 49330
"http://dbpedia.org/resource/Sceaux-du-Gâtinais", "Sceaux-du-Gâtinais", "scéléens,scéléennes", 45303
"http://dbpedia.org/resource/Sceaux-sur-Huisne", "Sceaux-sur-Huisne", "Scelléen, Scelléenne", 72331
"http://dbpedia.org/resource/Seichamps", "Seichamps", "Seichanais, Seichanaises", 54498
"http://dbpedia.org/resource/Seichebrières", "Seichebrières", "Seichebriérois", 45305
"http://dbpedia.org/resource/Seiches-sur-le-Loir", "Seiches-sur-le-Loir", "Seichois, Seichoise", 49333
"http://dbpedia.org/resource/Semoutiers-Montsaon", "Semoutiers-Montsaon", "Semourstériens, Semourstériennes", 52469
"http://dbpedia.org/resource/Semoy,_Loiret", "Semoy (Loiret)", "Semeyen", 45308
"http://dbpedia.org/resource/Semur-en-Vallon", "Semur-en-Vallon", "Semurois, Semuroise", 72333
"http://dbpedia.org/resource/Sennely", "Sennely", "Senneliaciens", 45309
"http://dbpedia.org/resource/Sercus", "Sercus", "Sercusiens", 59568
"http://dbpedia.org/resource/Sermaise,_Maine-et-Loire", "Sermaise (Maine-et-Loire)", "Sermate", 49334
"http://dbpedia.org/resource/Serqueux,_Haute-Marne", "Serqueux (Haute-Marne)", "Sarcophagiens", 52470
"http://dbpedia.org/resource/Servigny", "Servigny", "Servignais", 50573
"http://dbpedia.org/resource/Seyssuel", "Seyssuel", "seyssuellois, seyssuelloises", 38487
"http://dbpedia.org/resource/Seythenex", "Seythenex", "Seytheneyard / Seytheneyarde", 74270
"http://dbpedia.org/resource/Seytroux", "Seytroux", "Seytrousiens / Seytrousiennes", 74271
"http://dbpedia.org/resource/Tenay", "Tenay", "Tenaysiens", 1416
"http://dbpedia.org/resource/Tennie", "Tennie", "Tennisien, Tennisienne", 72351
"http://dbpedia.org/resource/Tessy-sur-Vire", "Tessy-sur-Vire", "Tessyais", 50592
"http://dbpedia.org/resource/Woippy", "Woippy", "Woippyciens", 57751
"http://dbpedia.org/resource/Wormhout", "Wormhout", "Wormhoutois", 59663
"http://dbpedia.org/resource/Wulverdinghe", "Wulverdinghe", "Wulverdinghois", 59664
"http://dbpedia.org/resource/Wylder", "Wylder", "Wylderois", 59665
"http://dbpedia.org/resource/Y,_Somme", "Y (Somme)", "Ypsilonien", 80829
"http://dbpedia.org/resource/Ervauville", "Ervauville", "Ervauvillois", 45136
"http://dbpedia.org/resource/Escamps,_Lot", "Escamps (Lot)", "Escampsois et Escampsoises", 46091
"http://dbpedia.org/resource/Escrennes", "Escrennes", "Escrennois", 45137
"http://dbpedia.org/resource/Espagnac-Sainte-Eulalie", "Espagnac-Sainte-Eulalie", "Espagnaquois", 46093
"http://dbpedia.org/resource/Essey-lès-Nancy", "Essey-lès-Nancy", "Ascéens, Ascéennes", 54184
"http://dbpedia.org/resource/Estaires", "Estaires", "Estairois, Estairoises", 59212
"http://dbpedia.org/resource/Euffigneix", "Euffigneix", "Euffinois, Euffinoises", 52193
"http://dbpedia.org/resource/Falck,_Moselle", "Falck", "Falckois, Falckoise", 57205
"http://dbpedia.org/resource/Fameck", "Fameck", "Fameckois", 57206
"http://dbpedia.org/resource/Fatines", "Fatines", "Fatinois, Fatinoise", 72129
"http://dbpedia.org/resource/Faveraye-Mâchelles", "Faveraye-Mâchelles", "Machellois, Machelloise", 49133
"http://dbpedia.org/resource/Faverelles", "Faverelles", "Faverellois", 45141
"http://dbpedia.org/resource/Fay,_Sarthe", "Fay (Sarthe)", "Fayard, Fayarde", 72130
"http://dbpedia.org/resource/Fay-aux-Loges", "Fay-aux-Loges", "Fayciens", 45142
"http://dbpedia.org/resource/Faye-d'Anjou", "Faye-d'Anjou", "Fayen, Fayenne", 49134
"http://dbpedia.org/resource/Fayl-Billot", "Fayl-Billot", "Fayl-Billotins, Fayl-Billotines", 52197
"http://dbpedia.org/resource/Felleries", "Felleries", "Fleurisiens", 59226
"http://dbpedia.org/resource/Feneu", "Feneu", "Fanouin, Fanouine", 49135
"http://dbpedia.org/resource/Fercé-sur-Sarthe", "Fercé-sur-Sarthe", "Fercéin, Fercéine", 72131
"http://dbpedia.org/resource/Aast,_Pyrénées-Atlantiques", "Aast", "Aastais, Aastaises", 64001
"http://dbpedia.org/resource/Abainville", "Abainville", "Abainvillois, Abainvilloises", 55001
